FID_webmap,SimpleRegion,report_url
50,MimbresBasin,https://nmgs.nmt.edu/publications/guidebooks/downloads/59/59_p0189_p0198.pdf
5,SanAgustinPlains,https://pubs.usgs.gov/sir/2022/5029/sir20225029.pdf
5,SanAgustinPlains,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/611/OFR_611.pdf
5,SanAgustinPlains,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/615/OFR-615_SanAgustinPlainsHydrogeology.pdf
51,SaltBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/618/OFR-618_SaltBasin.pdf
51,SaltBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/608/OFR-608_Salt_Basin_revised_Oct_2020.pdf
54,DelawareBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/623/OFR_623.pdf
55,AlbuquerqueBasin,https://geoinfo.nmt.edu/resources/water/projects/home.cfml?id=134
55,AlbuquerqueBasin,https://pubs.usgs.gov/sim/3433/sim3433_pamphlet.pdf
55,AlbuquerqueBasin,https://watermark.silverchair.com/spe494-15.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAy4wggMqBgkqhkiG9w0BBwagggMbMIIDFwIBADCCAxAGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMNoZPzPz6me0xhJwhAgEQgIIC4W760HNbTh4v0g5lbTKAQ7Bnk3Mb15QZ0GNfwgazGf31dWKXNGO4g3RzQQF0Y6X2Lh6HxrZYzsWh0n4wo8W1G-HwsaZkxQwyG87XtIu56TpPDaci1iOXhMchiC02yrtgZd-tZ1gIi5wIBtYERvMo-W0eHmwytIACEfBAgKD6xTeMknJOHw-hhxYPsDurppw9hi8ZCJluJjM79cpc2ak4rmNDWOPoWwKQktgfEHA6g15EEtXCdC1KMcl0buUZUFUYBIr6qI26U9xKvNAuoSzPr6edH5bEFFpGVHmRRHq3m19ahm0MfRDXbAVHDcEWcJ194DhW78ORIkoA50Uah6MIN4Hx9sN1xa3yJXqHvV1FbJDC0-zdLrB5VYaXIgDaMqgF1y79upq847ANDX6C84e93hG0i1XysE8CHSNNEIe5v_x1KII7G95hZ10BFTEcIjhHKSypfYbNhwgdwL7vu8v3UeKC9nqULqRfUU1tRpzggbMUY--3bVQYNSfBroZH4a3B3Tdg4v-5aivw2_UUAGTDB7zpZKuF8s8ICGTQMH-xOQcr_aBmSCZOFck-7GR-qUaBR-wDKM7HViEwh4j9uUEGySoOG129TrPBDmdYqjKSG2Yznky6RirZNoKAAqEAxuQMDlpkwEgElr-EE4oVXpS9UUdrF7Ci2diVfEe3BrDb8RNq9EYogLCc8hrSESS5hothP8i6jnGq6FjBdfyv7eXFBc9Xg2ubHbmDdDYVxLPZ-HgYxu-soCo6H1kxabdA-Jk-jDGZICIfD7NqpFSVLcSCKRfwLPxwxMigmmjsSDjf0Y6CzJQzL72HzAav2mNd6URpDJ5mdrg9esJuSGlOmGg9z8yAvn7BsqfHMjZJNPPnZEV_YftGYp75NsQnR76Mki-yuQQ_hZLWG43uPCl6q2sBAlnJOGa7arKTKaZ5ftUQ5nCVIttng-46SRSDjsogXG6Fj-JdIr8zm9M_Pkh3np_8fVJ0
55,AlbuquerqueBasin,https://nmgs.nmt.edu/publications/guidebooks/downloads/58/58_p0195_p0208.pdf
55,AlbuquerqueBasin,https://watermark.silverchair.com/spe494-16.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAy4wggMqBgkqhkiG9w0BBwagggMbMIIDFwIBADCCAxAGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8qUKbjkS3rnoSU-PAgEQgIIC4ScfCnHkwBu6A8qzyRWfrc0C5ayomUGTSnkw9W3qzVbQPDFPk7XQa5B0P_s1OO1TcDwytZfTgN_nHgsMCFvt9QeWG-OIDkukKWYqzCzLrWLu3ygJAENPcVLwnQoMKF8BMqYR0SXcdhpmgOK-Gn3k6LCzwJ4aoHdS2da8Yf3eiT-tBKj3yFkxp6p_swYmn5gh_4QwTcYRUFrbMO6lfKuJUaITRzNqCo2RYxskr76PCRtA8DnK0uYSurExMHta2OSMf2Vob7S_X06T9hjtLzeNfLIOlHxyyVMOJSHszxvNubMahr8j3-QgZ7IvO-ZrghAzBHoqGA-cZQBpsU_PBYh11aTmx-q4J2S2uCkp2EFgvUSWdzqbSOcktYvJuRbCV2jxmlMt0LY-WMafoXPCsdYDjRFqSjzHmUOdcD0rCaJ9e_2HkzX-s1aGdVLZ_h2WXNzGZG-bWwBl0JA-z7lhd-p9lKxI67nClvq8z7MflWf9P-Gq4xIYGlzc3fdr6L1KDL0EebFHzW7Yba04zm6_UQcs71YYeIMAHGCx5GSYh8ua92RTl49iEe31e0ej2j5mYRCU8R806xfiDO9Gicc_jwrHDx4Aijh8yYTDzgqQ0ncZGwYmDmNU3yisu00sApsrtqlIBAA-kqqXmwYojIb4lBd865NsPNywkccg2Tvq758KgDA4nOpatrs5ke29ma_u5cV5sLt0VXrFlKh4-Ni-85o1CU-r2v_v_7gWJhDJrbr9iwFETf4q0OHeazuph7TwxCAOOWZ_0zxTjfzoCzFyKsQuummpWObyyf677KEKLxk9Zcgw2sknlKoA3MQIfmiVsF8o_Uk3DiMau1Tm6h28w_bmJML7Z80-Twqbzr0Oi1gvtLIotT7WgqjRxembJA8oTDPhplcH0hQbGLrCh4hmU4LDFn6_2XpH-V34ceiw08w2o1tOTUU0GTO80_gYCgCziUS1Og6MYW5xrc6uCYvVAuuS9MJU
55,AlbuquerqueBasin,https://pubs.usgs.gov/pp/1719/pdf/P1719_508.pdf
57,CentralHighPlains,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/626/OFR-626.pdf
58,RioArriba,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/630/OFR_630.pdf
59,AlbuquerqueBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/632/OFR_632.pdf
64,MiddleRioGrande,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/631/OFR_631.pdf
